,fold_change,-log10(fdr_BH),Gene
102,6.688199491465907,5.122271815216173,PPM1G
1018,11.876160244265078,8.621244053621881,KPNA1
1525,2.0115441978056823,2.398158365478191,EEA1
1587,12.053658785282535,5.002919570875526,PPP2R5E
1628,3.8818629193593917,3.6648261863171534,PARP14
1699,3.806162458123845,4.057250907451659,SCYL2
1869,7.482384921984891,6.142874265485564,DTX3L
1949,5.8484029011886705,5.284403462424666,ZNF622
2000,8.52363969956251,5.763412048910454,TRIM11
2110,8.817475205569034,6.574726634658374,PELO
2226,5.186552973981549,9.524702702631522,SMYD3
2238,12.735164359583994,8.621244053621881,COPS7B
2247,5.629029103264573,5.533143689283111,EML4
