,fold_change,-log10(fdr_BH),Gene
62,7.918813902150277,7.066022484720356,TOR1A
64,9.88508575631418,7.465129336977442,ACOT8
72,3.7316111749316683,8.048807337525917,IFIT3
178,0.13107867773514564,6.92524687451391,SNX2
230,2.4678406328507725,6.6269367050129055,SLC25A12
255,0.2314307261234882,6.429264695825551,MICAL2
274,13.52711785055098,8.455084729323813,NDUFC2
293,6.386272270236608,8.919062914543485,CDS2
297,7.552020347142877,5.818648412931854,DDX58
309,13.707174998086135,8.163446898051925,NDUFB10
326,6.187837507035178,6.429264695825551,F2
460,23.861566246997263,8.70993582306838,IFIT2
461,3.1152032623296884,5.417054315697736,IFIT1
477,31.8439190028911,11.076294938124962,HLA-C
523,17.768904866333113,8.610175163279818,IFITM1
579,12.952701016976137,9.197801082876175,TMEM11
589,0.19296302435033977,8.163446898051925,FLT1
706,8.611768694887742,6.565203877941375,CD82
734,8.475053668204225,7.465129336977442,OAS2
983,0.11695844178118145,8.108053480872588,METAP2
1297,2.670572095949519,5.607183927028076,TAP2
1330,2.2914500568346337,5.247419510494403,LGALS3BP
1382,10.260747441490105,7.961312072047867,NMI
1459,0.11811949651747111,7.961312072047867,FAM50A
1569,6.351271949529203,8.021765714510787,CRY1
1649,3.0548379245496418,4.956398865100875,RIF1
1804,6.055110216858039,7.547241019452485,TMEM87A
1805,9.187423427764799,8.293501802344009,RDH13
1835,2.304130665099045,3.587679879216604,PNPT1
1960,0.117209637385311,6.191072290274736,SNRNP40
2082,0.09693339870442061,6.865055069583268,PELO
2203,9.65762584506981,8.379319661072842,SRD5A3
2216,7.237776326100081,5.767129481281763,PDF
2272,10.879319425343963,7.618983469841451,RYDEN
2353,8.548303013199236,6.92524687451391,SLC25A10
2429,15.842153626016133,7.507480071080334,NIP7
2444,7.685517822216127,9.312431313903838,EXOG
2490,2.491884009363338,6.00720391492485,SAMHD1
2519,0.31216943017274956,4.485444738470162,CDC42BPB
