,fold_change,-log10(fdr_BH),Gene
657,5.618672869543652,5.451233681797667,FBLN1
670,7.646495121203167,7.1596950157409935,CPT2
683,10.224603636547442,8.833801160286011,FAS
686,11.154986268257069,9.21149662248556,CTSS
715,2.0019094393569783,3.885772521912953,PSMB8
723,2.064903784415919,3.375689325922968,NDUFS1
730,10.843113258947533,9.191815752610594,EPHB2
734,2.053228371385961,5.140698979509631,PML
736,9.398353389354359,8.41127913266481,OAS2
753,32.243076626234924,10.365370970714624,HLA-B
754,29.08053076990419,10.12552395262991,HLA-C
755,46.771289939060836,10.559570371535871,HLA-A
779,9.536932051954997,8.151998378947685,GK
781,7.890105087764308,16.498675329258166,GBP1
782,22.935999663832735,8.442758021257609,GBP2
844,4.229290164019767,4.941779958672831,COL15A1
846,9.595540712055042,9.796528299442723,MPV17
864,11.791576259873901,8.29041465788423,CETN2
937,15.04622307001869,10.227934994797966,CD97
942,2.1362170803428215,3.7649666833984927,LMAN1
966,12.974109725502114,10.488866965438548,NDUFV1
990,13.56700295875541,9.260222572883103,RAB13
993,3.672457563580949,5.654466654192247,SMARCA2
999,12.289377237164246,10.632106210713676,CAV2
1013,2.1058229567853184,5.703702579420832,STAT2
1022,2.1908868371196832,5.572233818480997,NUP98
1028,6.251321358531355,9.411925286912236,METAP1
1063,4.549071462323772,8.068217146959423,CDH11
1075,7.37063022172879,10.419867418635476,ITGA1
1081,10.394016085079585,7.968529010648926,SYNJ2BP
1083,5.486336363011844,8.111623560367462,GSDMD
1118,10.862033904110628,8.776809733926008,RAP2B
1131,5.293187554736533,10.559570371535871,STXBP1
1230,12.0093234223859,8.65340973646523,HBA1
1245,4.523801849623496,5.379813466582387,MRPS5
1248,12.234565173286033,9.412719487945886,MRPS6
1262,4.647257731728221,6.763001719380711,ZBED6
1299,2.2640046553899977,7.126445818196829,TAP1
1300,3.3603846593352973,8.776809733926008,TAP2
1327,7.263431250780561,7.356588601772287,SRSF4
1331,2.2198306606768323,5.479024484108606,LGALS3BP
1335,6.786343613824994,8.070478273567046,SLFN5
1338,2.1766765361554117,7.963510784973506,HLA-A
1344,9.67474449067673,8.86388183322059,BST2
1389,2.132361875391856,6.451761232863431,IFIT5
1421,13.791305069390612,10.12552395262991,RAB31
1427,2.0277859590649108,4.390649268342775,ALCAM
1442,6.252479722063907,8.457586174367398,TRIM14
1463,2.1390761398606637,3.421475309681503,FAT1
1470,4.573330901901392,6.173995343295807,PDCD11
1471,3.3806895079588233,5.850888347573719,BMS1
1475,2.306961480662491,6.866557871345671,RFTN1
1481,4.103969959277453,7.64554847993783,CHD4
1494,4.977209165990291,6.567909822007243,LARS2
1508,10.448411269118209,9.1090603524917,EBP
1531,6.338167034218763,6.635552889923606,SF3A2
1538,8.82882586244937,6.718313400007982,SLC9A3R2
1575,2.2863644592064816,6.913285911101024,IFI16
1581,11.904253059924267,7.896146335678415,GUK1
1596,4.755102629770554,10.016443370620964,ALG11
1608,4.606715945381585,5.895294323812867,ANO6
1614,6.096083037365573,10.016443370620964,AGK
1622,6.829343092813789,7.368658511084172,CMPK2
1649,4.107803959833838,6.240985164714269,RNF213
1654,6.204628852861769,7.53129068438206,ARL6IP4
1659,3.1739706127890637,5.588299678293013,VIRMA
1661,9.077509169797901,10.775595264884004,RPL7L1
