,fold_change,-log10(fdr_BH),Gene
12,0.08391598859337633,6.303943960820359,KLRF2
80,0.12810002211524651,7.398822866850486,HAT1
140,0.07029214735972163,8.708013206214371,TRAPPC3
362,0.03575804728549327,10.016443370620964,HMGN1
379,0.03521224940239011,9.173095214014978,S100A6
472,0.05118814178983312,10.77382678191946,HLA-A
719,0.4904464021809058,4.346889428764174,PSMB6
720,0.39128107419971614,7.00566820589663,PSMB5
804,0.10012321930580907,8.498162441700382,SPR
1653,0.20556615532162584,6.513981777763847,TBC1D9B
1658,0.14576063995483207,8.215367640799904,CWF19L1
1844,0.2105059060190389,7.1596950157409935,CEMIP
1938,0.0563671756264938,10.735272236936336,ARL8A
1942,0.09808292389002828,8.442758021257609,GALM
2071,0.13528272477148728,8.965650801751842,PELO
2093,0.05771386365826868,10.016443370620964,ADI1
2286,0.1951155202494337,8.070478273567046,MAP3K20
