,fold_change,-log10(fdr_BH),Gene
14,0.12924169853879203,6.67227752366406,UNC119B
58,0.1788000787203825,7.277459077087137,STK25
92,0.39837290489098076,3.786017583075679,NDC80
115,0.3427736174183483,4.026148707338125,ARHGEF10
120,0.44475425485527115,4.032848964682106,DCLK1
153,0.1684665090968185,5.688353639758725,IPO8
164,0.34257424419483185,4.292504468291306,TTI1
178,0.08445800513068259,6.428395151386265,EEF1E1
382,0.08752399116147565,8.185569716495587,AP2A2
393,0.07095981479398418,7.5073739941492255,RTN3
396,0.2128961081040244,5.330664922120304,SNX4
397,0.16148735023246483,7.177656365725382,ZWINT
404,0.09339843519409254,7.971636334925483,NDUFA10
527,0.2503691515858496,3.360485056869549,BCHE
557,0.05096891570176218,8.32684859104597,PSAP
573,0.21274464890627642,4.28752152304424,THBS1
738,0.04124095884829605,8.185569716495587,HIST1H1C
777,0.2658182766247852,4.866398363538527,LIG1
786,0.13433519270268154,7.40132646283517,EIF2AK2
892,0.05765438971516097,8.04250278395528,TARS
1027,0.07257572925572807,8.185569716495587,MYH11
1101,0.17024800525943812,4.608580363489591,RBM34
1190,0.17076544037162916,5.217427867615757,DHPS
1400,0.034585626410129175,8.32684859104597,DSTN
1458,0.1463071198696409,7.488078680878777,UBE2G1
1586,0.12780858619246194,7.366454722907521,SERF2
1722,0.0983000327379882,6.394688559806295,KIF5A
1745,0.22243079578586097,7.02906707769364,CDC16
1773,0.17259253383338527,6.215251915832849,PTK7
1837,0.14688252408930697,7.045304446110006,IDI1
1987,0.20696126514932464,7.279988761201439,TRIP4
1998,0.27195563157772507,5.122960522961676,SMAD1
2017,0.08567335343174487,6.664188291452189,MAPK14
2060,0.4519329973679488,2.757710581420073,CCDC88A
2066,0.10462438111599767,6.561608022517971,VPS26B
2129,0.2258772926150404,4.809473811548879,VPS53
2156,0.23066386808783892,6.554146601461422,SMYD5
2241,0.12146581308565804,7.366454722907521,MOB1B
2317,0.09821906331945947,6.705428563421432,PHF6
2372,0.16609736204338296,7.522979207675297,RFLNB
2380,0.20361533242702543,6.536867531359108,PAF1
2413,0.1390423428227071,6.80950248180747,FBXO22
2447,0.24961501052669613,6.489959538039456,SPPL2A
2451,0.20282023831405832,5.679845295102116,CHD5
2484,0.08744875658130054,6.705428563421432,PALLD
2523,0.28738130059127936,3.152244967343676,HTRA1
2563,0.13036446935185103,8.04250278395528,PSMG2
2665,0.18019723485185568,5.805349910590538,PDLIM2
2702,0.11641137246259238,7.496322539409424,PIGS
2804,0.2276547705961436,5.330664922120304,MCMBP
2820,0.3564063032743836,2.764347873861761,POLR3C
2863,0.16736144045558993,7.625113027300283,CHMP4A
2891,0.07503955860460328,7.987681441112307,PKIB
2892,0.3250614038735642,5.7716780543938615,UNK
2991,0.4941598400823577,3.247733246447382,NT5DC2
3007,0.19785728247321518,4.0521448996543645,WDR41
3034,0.12256056524864595,6.249670437965684,ARFGAP3
3214,0.49991833321605283,2.024410826045702,TENM3
3239,0.198863054178622,5.873598247947301,TNFRSF10D
3243,0.05873884699620037,8.185569716495587,VPS29
3340,0.3348296319973189,2.151524988369072,TPX2
3451,0.2306039915213226,4.699321990288785,SAMHD1
3529,0.3855455128485964,3.122916490946713,ROBO1
