,fold_change,-log10(fdr_BH),Gene
32,4.404505617586087,6.304989073740898,LGALS9
168,0.16171063944640607,7.828417571100412,SLC31A1
205,5.365572112062745,7.455119227158621,B4GAT1
433,8.580044683373684,7.698971267612732,DDX58
468,4.1257356365895825,6.660801964771498,C1R
471,3.3997754050098385,9.62613556576074,OAS1
533,3.513348285225074,7.36107762466616,ISG15
631,5.495436799849626,5.929281078275678,CSF1
638,6.60059038409916,5.909962498672667,IFIT2
639,11.993399356159678,7.904224871078089,IFIT1
664,14.7525735393902,8.602070821665789,PRKAR1A
709,11.5671553065966,8.241618989912455,IFITM1
710,7.629326198642918,8.655384593942467,IFI30
719,9.284076830216796,7.201162895574463,HLA-E
775,0.21368633151207597,5.83780242504565,ZNF24
781,0.1664043206485089,4.797241789289068,GJA1
788,8.461168629510654,7.855722938006424,HLA-G
807,32.38700719876675,10.662088549418986,HLA-B
816,0.22916276245162845,4.360523339824661,PAM
839,24.60891609044623,10.76734181878455,MX1
840,15.09812608583094,8.232566122919465,MX2
883,3.266315291119235,8.232566122919465,WARS
886,6.8129351225301376,7.9948053393834355,SP100
912,5.102876241156016,5.466150153056026,CTSS
976,6.722479408339825,5.083037572771934,OAS2
979,6.981005237671862,4.797241789289068,ALDH4A1
1028,2.214668156362602,4.591354728477043,GBP1
1137,2.3725020530874747,7.366048581901093,STAT1
1403,0.11037362951858345,7.526033108483253,GABARAPL2
1412,0.04633637610985818,10.76734181878455,PSMA6
1563,7.264913471377615,7.365995111174416,IFI35
1618,12.243030015976995,7.888474774721613,IFITM3
1669,4.831766472633763,9.62613556576074,CTDSPL2
1714,13.11427620371138,7.849980320675445,BST2
2042,2.5710537708749257,4.660347120308301,PARP14
2059,7.846149688904291,7.2545355961442,IFI44L
2092,2.875957948806359,6.065611014573405,SAMD9
2146,0.1939607284239027,6.660801964771498,SDE2
2173,5.126723259195428,3.4066995301784093,ALKBH5
2338,2.1341114147358375,2.4734158663984265,PARP9
2370,5.8003172244518915,5.259075150496546,CMTR1
2472,9.67660158629624,8.307752278751817,IFI44
2478,2.0380507448644583,3.0249918936786964,DTX3L
2520,7.900785115799741,5.082227543639315,RSAD2
2902,5.679407251307197,5.466150153056026,HELZ2
2918,4.591678236200716,6.621466256153673,TRIM5
3026,9.59589485715813,8.591538704277998,SP110
3037,0.054899640336417775,9.62613556576074,MCCC2
3115,4.62459032833849,6.030969213982254,TREX1
3132,10.93010156381367,10.07525852827436,SPATS2L
3242,2.6628718738402517,4.589162008113154,ZNFX1
3473,0.16581267682000306,6.065611014573405,SAMHD1
3474,17.771383579567992,9.67881237674662,SAMHD1
3520,6.158764404854663,5.5287501879255485,SLC12A7
3538,3.167807381673345,7.849980320675445,OAS3
