,fold_change,-log10(fdr_BH),Gene
124,14.279133663885304,8.585370913870594,BET1
137,8.500486420563119,6.578681365576843,PMM2
823,11.046665879493673,7.402314561919498,ACP1
971,3.199127580313105,3.783843121294266,AGL
1468,6.899436718125618,8.015225325340957,PSPH
1518,4.670687931057718,5.923274176311297,HSF1
1878,2.8348384455500697,3.368671368498383,PTPN14
2146,12.471871228118628,7.758777892816448,P3H3
2150,5.777099270048354,6.155012369160478,HERC6
2504,5.88293938461501,5.923274176311297,RMDN3
2594,4.3904841199964935,3.373189497055073,TRAF4
3135,4.911614448346785,6.84688945892262,PRRC2C
